name,review,rating
"Moby Wrap Original 100% Cotton Baby Carrier, Red",Bought this for my daughter who is expecting her first baby. She said her friends said it is the one item that she absolutely must have! Easy to put on. Now just waiting for the baby!,5
Child to Cherish Handprints Tower Of Time Kit in Pink,"A perfect baby or first birthday gift. I received two myself as gifts.  I just finished one for my 5 year-old.  The last handprint. :(Perfect packaging, fast shipping.",5
CM Star Candy Heart Crossbody Shoulder Bag Satchel Purse Handbag Clutch,"It is very cute, and I got a lot of compliments.Pros-Really cuteCan hold my galaxy phone + walletHas a separate outside zipper for keys etcCons-It is a little heavy/clinky with the metal chain strap, but the strap also makes it look really coolIt swings around when I move so it's not very portableThere is a small decorative chain hanging from the bottom that is kind of long and is slightly noisy when it bangs on your legs when walkingIt's made well and is super cute though, and I would recommend it.",4
"JJ Cole Collections System Diaper Bag, Black Damask","I have had 3 of these bags - i love it so much.  I have had one with each of my children.  It holds everything.  It hangs great on the back of the stroller.  It's stylish and just great.  But the zipper has broke on each of my bags.  One of the bags actually tore along the seam. I would recommend the bag, because the poor quality hasn't made the bag impossible to use.  I do love it.  If I have another baby, I admit, I might get another one of these bags!",3
Recaro Signo Convertible Car Seat Midnight Desert,I have used this with both my kids. It is the best car seat on the market and lasts through different stages!,5
Summer Infant Baby's Quiet Sounds Video Monitor,This is the best monitor- better than the regular monitors and than the angelcare monitor. You can see and hear your baby. The bad rewiews I read are from people who don't use commom sense. To set up your camera - have the monitor in the room with you so you can see what the camera is seeing- then take it to where you want to view your baby. You don't have to go back and forth 100 times. The reception is clear-- if it isn't -- change the channel. If there is feedback from the speaker- the volume is too high. The many problems people have are easily solved if you use your brain. I can't believe this monitor isn't reviewed at 5 stars across the board. I give it my 2 thumbs up and take comfort that I can see my baby is sleeping safe.,5
"3 Sprouts Storage Caddy, Mouse","This is my second caddy...I also have the walrus...liked it so much, I bought a second one...the walrus I use as a diaper caddy...I cloth diaper and it holds 3 diapers, wipes, hand sanitizer, diaper cream, as well as misc baby items (nail clippers, colic drops, etc) all in the main part...I am able to slip TV and heater remote in outside pockets, but if main caddy is full, the outer pockets feel tight...In the beaver caddy, I have floor and tummy time toys, a few Dr. Seuss books, teethers, rings, etc. When you first use it, it takes a bit for the bottom to lay flat, but once it does it will stand on its own.",4
Nuby 2 Pack Replacement Silicone Spouts,"I wish there was more photos/info about which models these fit. I searched the cups they were intended for and could find no model number on them (and of course I didn't keep the packaging - who does?), so assumed they were correct. Wrong! I'm out 2 bucks - they don't fit any I own.",3
"Summer Infant Ultra Plush Change Pad Cover, Blue","I like the contours, keeps baby safer on the table.  Waterproof is true, needs a cover though because the plastic is crinkly and cold.",5
"Stork Craft Tuscany 4 in 1 Fixed Side Convertible Crib, White","We needed a crib for our grandson's visit and I liked the fact that many now grow with the child, turning into a toddler bed, daybed or full-size bed's headboard/footboard. I picked this particular crib because of the great product reviews and it seemed (and is) very sturdy. It arrived quickly and the packaging was excellent. It had been a while since we've had to assemble furniture so it took us a little while to put together. It was not too difficult, but definitely a two-person job. When my daughter saw it, she loved it - even more than the one she has!",5
"JOTO Premium Screen Protector Film Anti Glare, Anti Fingerprint (Matte Finish) for All New Kindle Fire HD 7 inch Tablet (will only fit All New Kindle Fire HD 7&quot; 2013 released), with Lifetime Replacement Warranty (3 Pack)",These screen protectors were easy to apply and no issue with getting the few air bubbles out.  Would buy again.,5
"Mountain Buggy Urban Jungle Stroller, Black Dot","I bought the Urban Jungle after extensive research... and love it!We were looking for a tough but stylish stroller that was suitable for the city, running, hiking trails and light enough to get in and out of a NYC cab.Great stroller! And the bassinet is perfect for a newborn.",5
Munchkin Bobble Bee Suction Toy,Very cute and keeps your baby entertained during meals.  The only reason why I am giving this a 4 is because the toy removes from the suction cup base very easily.  My daughter is 6 1/2 months old and can remove it quite easily.  I'd prefer it to stay stationary while I am feeding her and not have to worry about having to reattach it to the base multiple times during each meal.,4
Kidsline Zanzibar Musical Mobile,"Our baby loves this thing but it drives me CRAZY!!!  First of all, it should be battery operated because the wind-up motor doesn't last nearly long enough.  The other annoying thing is the stupid giraffe (which isn't even my baby's favorite animal, she likes the zebra) always getting caught on the post which supports the mobile.  This stops the mobile from turning and slows the music, they should have angled the post a little more over the crib so it doesn't get stuck like that.  Even with these two unfortunate problems, my baby LOVES this thing when it is working, it totally captivates her.  She is only a month old though, so maybe she will soon be annoyed like me.",3
Eco Sprout Detergent 48 oz. - Lavender / Chamomile,"I have tried several other varieties of detergent, and this is by far my favorite!  No &#34;off-smelling&#34; diapers any more!  It rinses clean and we haven't had to strip at all since switching.",5
"JJ Cole Lite Embroidered Bundleme, Pink, Infant",This product is very pretty but does not fit the Graco Safe Seat as it is too narrow and short for it.,1
"Medela Disc Collar, Slow Flow Nipple, and Clear Bottle Cap Replacement parts","this nipple is very good, the only thing that it made me give four is that it doesnt help with spit up but other than that its excellent",4
NuAngel Washable Nursing Pads 100% Cotton - Natural - 8 pads - Made in U.S.A.,"First time using these instead of disposable pads, and wish I would've discovered them sooner. They are softer and if you don't leak, they don't need to be changed as often. They don't stick, but also don't move around much-fine if you have a bra on, but don't stay in place as well with loose pajamas. Already bought a set for a gift.",5
